project,file,function,start_line,end_line,nloc,cyclomatic,params
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,440,443,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,445,448,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::Value,450,453,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::~Value,455,458,4,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator =,460,463,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator =,465,468,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::swapPayload,470,473,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::copyPayload,475,478,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::swap,480,485,6,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::copy,487,490,4,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::type,492,494,3,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::compare,496,502,7,3,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator <,504,552,49,16,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator <=,554,554,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator >=,556,556,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator >,558,558,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator ==,560,600,41,15,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator !=,602,602,1,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asCString,604,614,11,2,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::getCStringLength,617,627,11,2,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::getString,630,640,11,3,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::getString,643,654,12,3,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asString,657,681,25,9,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asInt,683,703,21,7,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asUInt,705,725,21,7,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asInt64,729,753,23,7,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asUInt64,755,774,20,7,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asLargestInt,777,783,4,2,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asLargestUInt,785,791,4,2,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asDouble,793,813,18,8,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asFloat,815,836,18,8,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::asBool,838,857,19,7,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::isConvertibleTo,859,890,32,36,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::size,893,914,22,10,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::empty,916,920,5,4,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator bool,922,922,1,1,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::clear,924,938,15,5,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::resize,940,957,18,7,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator [ ],959,973,14,5,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator [ ],975,980,6,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator [ ],982,993,12,4,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::operator [ ],995,1000,6,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::initBasic,1002,1008,7,1,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::dupPayload,1010,1040,31,11,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::releasePayload,1042,1061,20,10,0
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::dupMeta,1063,1067,5,1,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::resolveReference,1072,1088,16,5,1
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::resolveReference,1091,1107,16,5,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::get,1109,1112,4,2,2
Json CPP,jsoncpp/src/lib_json/json_value.cpp,Json::Value::isValidIndex,1114,1114,1,1,1
